Done,1,2,3,4,5,6,7,8,9, 
Ja,9,4,1,6,5,2,7,8,3, y R' U L' U2 R U' R' U2 R L D E U
F,7,8,9,4,5,6,3,2,1, y R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R D E U
Ub,9,4,7,8,5,6,3,2,1, M2 U' M' U2 M U' M2 U2
Ua,9,6,7,4,5,8,3,2,1, y2 M2 U M U2 M' U M2 D2 E2
Jb,3,6,7,2,5,4,1,8,9, R U2 R' U' R U2 L' U R' U' L U
Ab,7,6,3,2,5,8,1,4,9, x R2 D2 R U R' D2 R U' R x' U
V,7,8,9,2,5,6,1,4,3, R' U R' U' y R' F' R2 U' R' U R' F R F D E
Na,1,2,7,6,5,4,3,8,9, L U' R U2 L' U R' L U' R U2 L' U R' U'
Gb,9,6,1,4,5,2,3,8,7, R' U' R U D' R2 U R' U R U' R U' R2 D U2
Jb,9,8,1,6,5,2,3,4,7, R U2 R' U' R U2 L' U R' U' L U2
Y,3,8,1,4,5,2,9,6,7, F R U' R' U' R U R' F' R U R' U' R' F R F' U'
Aa,9,6,7,2,5,8,1,4,3, R' F R' B2 R F' R' B2 R2 U
Jb,1,2,9,4,5,8,7,6,3, R U2 R' U' R U2 L' U R' U' L
T,1,2,9,6,5,4,7,8,3, R U R' U' R' F R2 U' R' U' R U R' F'
Jb,7,4,3,8,5,6,9,2,1, R U2 R' U' R U2 L' U R' U' L U'
Ga,7,6,3,4,5,8,9,2,1, R2 U R' U R' U' R U' R2 D U' R' U R D' U'
Rb,9,6,3,2,5,4,1,8,7, R' U2 R U2 R' F R U R' U' R' F' R2
Rb,7,8,9,6,5,2,3,4,1, R' U2 R U2 R' F R U R' U' R' F' R2 U
Z,1,4,3,2,5,8,7,6,9, M2 U M2 U M' U2 M2 U2 M' U2
Ua,1,4,3,6,5,2,7,8,9, y2 M2 U M U2 M' U M2 D2 E2 U2
Gc,3,8,7,4,5,2,1,6,9, R2 U' R U' R U R' U R2 D' U R U' R' D U
Aa,1,4,3,8,5,2,9,6,7, R' F R' B2 R F' R' B2 R2 U'
Ua,7,8,1,2,5,4,9,6,3, y2 M2 U M U2 M' U M2 D2 E2 U
V,3,2,1,8,5,4,9,6,7, R' U R' U' y R' F' R2 U' R' U R' F R F D E U2
F,1,4,7,2,5,8,9,6,3, y R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R D E U2
Ra,1,4,7,6,5,2,9,8,3, L U2 L' U2 L F' L' U' L U L F L2
V,1,4,7,6,5,8,3,2,9, R' U R' U' y R' F' R2 U' R' U R' F R F D E U
E,1,4,7,8,5,2,3,6,9, y x' R U' R' D R U R' D' R U R' D R U' R' D' x D E U2
Rb,1,4,7,8,5,6,9,2,3, R' U2 R U2 R' F R U R' U' R' F' R2 U2
Ra,9,6,3,4,5,8,1,2,7, L U2 L' U2 L F' L' U' L U L F L2 U2
F,3,2,1,6,5,4,7,8,9, y R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R D E U'
Gb,7,8,3,2,5,6,9,4,1, R' U' R U D' R2 U R' U R U' R U' R2 D U'
Gb,1,4,9,6,5,8,7,2,3, R' U' R U D' R2 U R' U R U' R U' R2 D
Aa,7,8,1,6,5,4,3,2,9, R' F R' B2 R F' R' B2 R2 U2
Gc,7,2,3,6,5,8,9,4,1, R2 U' R U' R U R' U R2 D' U R U' R' D U'
Ub,1,6,3,2,5,4,7,8,9, M2 U' M' U2 M U' M2
Ab,9,2,1,4,5,6,7,8,3, x R2 D2 R U R' D2 R U' R x'
Ra,7,8,9,2,5,4,3,6,1, L U2 L' U2 L F' L' U' L U L F L2 U'
Ub,3,8,9,6,5,2,1,4,7, M2 U' M' U2 M U' M2 U
Z,7,8,1,4,5,6,9,2,3, M2 U M2 U M' U2 M2 U2 M' U
Ga,3,4,7,6,5,2,1,8,9, R2 U R' U R' U' R U' R2 D U' R' U R D' U
Ga,9,2,1,8,5,6,3,4,7, R2 U R' U R' U' R U' R2 D U' R' U R D' U2
E,3,2,1,4,5,6,9,8,7, y x' R U' R' D R U R' D' R U R' D R U' R' D' x D E U'
Y,7,2,9,6,5,8,1,4,3, F R U' R' U' R U R' F' R U R' U' R' F R F' U
Gc,9,4,1,2,5,6,3,8,7, R2 U' R U' R U R' U R2 D' U R U' R' D U2
T,9,8,1,4,5,6,3,2,7, R U R' U' R' F R2 U' R' U' R U R' F' U2
Y,1,6,7,8,5,4,3,2,9, F R U' R' U' R U R' F' R U R' U' R' F R F' U2
Ra,3,2,1,8,5,6,7,4,9, L U2 L' U2 L F' L' U' L U L F L2 U
Ab,3,4,7,8,5,2,9,6,1, x R2 D2 R U R' D2 R U' R x' U'
Ja,3,8,7,2,5,4,9,6,1, y R' U L' U2 R U' R' U2 R L D E
Ja,1,6,9,4,5,8,3,2,7, y R' U L' U2 R U' R' U2 R L D E U'
T,7,4,3,2,5,8,9,6,1, R U R' U' R' F R2 U' R' U' R U R' F' U'
Gc,1,6,9,8,5,4,7,2,3, R2 U' R U' R U R' U R2 D' U R U' R' D
Gd,3,4,7,8,5,6,1,2,9, R U R' U' D R2 U' R U' R' U R' U R2 D' U
Ub,7,2,1,4,5,8,9,6,3, M2 U' M' U2 M U' M2 U'
Ua,3,2,9,8,5,6,1,4,7, y2 M2 U M U2 M' U M2 D2 E2 U'
T,3,6,7,8,5,2,1,4,9, R U R' U' R' F R2 U' R' U' R U R' F' U
Gb,3,2,7,8,5,4,1,6,9, R' U' R U D' R2 U R' U R U' R U' R2 D U
H,1,8,3,6,5,4,7,2,9, M2 U M2 U2 M2 U M2
V,9,6,3,4,5,2,7,8,1, R' U R' U' y R' F' R2 U' R' U R' F R F D E U'
Gd,9,2,1,4,5,8,3,6,7, R U R' U' D R2 U' R U' R' U R' U R2 D' U2
Ja,7,2,3,8,5,6,1,4,9, y R' U L' U2 R U' R' U2 R L D E U2
Nb,1,8,7,4,5,6,3,2,9, R' U L' U2 R U' L R' U L' U2 R U' L U'
Y,9,4,3,2,5,6,7,8,1, F R U' R' U' R U R' F' R U R' U' R' F R F'
Aa,3,2,9,4,5,6,7,8,1, R' F R' B2 R F' R' B2 R2
Ga,1,8,9,2,5,4,7,6,3, R2 U R' U R' U' R U' R2 D U' R' U R D'
Rb,3,2,1,4,5,8,7,6,9, R' U2 R U2 R' F R U R' U' R' F' R2 U'
Gd,7,6,3,2,5,4,9,8,1, R U R' U' D R2 U' R U' R' U R' U R2 D' U'
F,9,6,3,8,5,2,1,4,7, y R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R D E
Gd,1,8,9,6,5,2,7,4,3, R U R' U' D R2 U' R U' R' U R' U R2 D'
Ab,1,8,9,6,5,4,3,2,7, x R2 D2 R U R' D2 R U' R x' U2
Z,3,2,9,6,5,4,1,8,7, M2 U M2 U M' U2 M2 U2 M' U'
Nb,3,4,1,2,5,8,9,6,7, R' U L' U2 R U' L R' U L' U2 R U' L
H,3,4,9,8,5,2,1,6,7, M2 U M2 U2 M2 U M2 U
Na,3,6,1,8,5,2,9,4,7, L U' R U2 L' U R' L U' R U2 L' U R'
Done,3,6,9,2,5,8,1,4,7,  U
E,9,6,3,2,5,8,7,4,1, y x' R U' R' D R U R' D' R U R' D R U' R' D' x D E
Z,9,6,7,8,5,2,3,4,1, M2 U M2 U M' U2 M2 U2 M'
Done,7,4,1,8,5,2,9,6,3,  U'
Na,7,4,9,2,5,8,1,6,3, L U' R U2 L' U R' L U' R U2 L' U R' U2
H,7,6,1,2,5,8,9,4,3, M2 U M2 U2 M2 U M2 U'
Nb,7,6,9,8,5,2,1,4,3, R' U L' U2 R U' L R' U L' U2 R U' L U2
E,7,8,9,6,5,4,1,2,3, y x' R U' R' D R U R' D' R U R' D R U' R' D' x D E U
Nb,9,2,3,6,5,4,7,8,1, R' U L' U2 R U' L R' U L' U2 R U' L U
H,9,2,7,4,5,6,3,8,1, M2 U M2 U2 M2 U M2 U2
Na,9,8,3,4,5,6,7,2,1, L U' R U2 L' U R' L U' R U2 L' U R' U
Done,9,8,7,6,5,4,3,2,1,  U2
